release_id,spine_status,drive_file_id,drive_parent_id,working_view_url,working_embed_url,working_direct_url,listed_utc,source_url,mirror_url
video_2605_DOD_111719709_DOD_111719709,INDEXED,1KoVVTnxJh8ji1N5P0hwaCOs4Nb-_OeNd,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1KoVVTnxJh8ji1N5P0hwaCOs4Nb-_OeNd/view,https://drive.google.com/file/d/1KoVVTnxJh8ji1N5P0hwaCOs4Nb-_OeNd/preview,https://drive.usercontent.google.com/download?id=1KoVVTnxJh8ji1N5P0hwaCOs4Nb-_OeNd&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719715_DOD_111719715,INDEXED,1LRUXsvOgwaGfGdV9JisymIB7f41cPTH5,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1LRUXsvOgwaGfGdV9JisymIB7f41cPTH5/view,https://drive.google.com/file/d/1LRUXsvOgwaGfGdV9JisymIB7f41cPTH5/preview,https://drive.usercontent.google.com/download?id=1LRUXsvOgwaGfGdV9JisymIB7f41cPTH5&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719718_DOD_111719718,NOT_INGESTED,1rUrhqXbR6fZbZ7YIVuCLBB-anh13bOww,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1rUrhqXbR6fZbZ7YIVuCLBB-anh13bOww/view,https://drive.google.com/file/d/1rUrhqXbR6fZbZ7YIVuCLBB-anh13bOww/preview,https://drive.usercontent.google.com/download?id=1rUrhqXbR6fZbZ7YIVuCLBB-anh13bOww&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719723_DOD_111719723,INDEXED,1mWDaZshDwXVFKitpwWDC-Q6wXKAFX47A,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1mWDaZshDwXVFKitpwWDC-Q6wXKAFX47A/view,https://drive.google.com/file/d/1mWDaZshDwXVFKitpwWDC-Q6wXKAFX47A/preview,https://drive.usercontent.google.com/download?id=1mWDaZshDwXVFKitpwWDC-Q6wXKAFX47A&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719726_DOD_111719726,INDEXED,1WbE-ZT96zce5QAKbu9mMyBlLsWgADQTP,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1WbE-ZT96zce5QAKbu9mMyBlLsWgADQTP/view,https://drive.google.com/file/d/1WbE-ZT96zce5QAKbu9mMyBlLsWgADQTP/preview,https://drive.usercontent.google.com/download?id=1WbE-ZT96zce5QAKbu9mMyBlLsWgADQTP&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719730_DOD_111719730,INDEXED,186hBGOhGgeXq7cV4mV_nlVr7IfWqPtCP,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/186hBGOhGgeXq7cV4mV_nlVr7IfWqPtCP/view,https://drive.google.com/file/d/186hBGOhGgeXq7cV4mV_nlVr7IfWqPtCP/preview,https://drive.usercontent.google.com/download?id=186hBGOhGgeXq7cV4mV_nlVr7IfWqPtCP&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719732_DOD_111719732,INDEXED,1ZxiTS36j2d7_apySpveaIupV_UXMDetB,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1ZxiTS36j2d7_apySpveaIupV_UXMDetB/view,https://drive.google.com/file/d/1ZxiTS36j2d7_apySpveaIupV_UXMDetB/preview,https://drive.usercontent.google.com/download?id=1ZxiTS36j2d7_apySpveaIupV_UXMDetB&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719736_DOD_111719736,INDEXED,19mAIjmLW8mzkd1-KivE7bvqOfbq8z4wf,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/19mAIjmLW8mzkd1-KivE7bvqOfbq8z4wf/view,https://drive.google.com/file/d/19mAIjmLW8mzkd1-KivE7bvqOfbq8z4wf/preview,https://drive.usercontent.google.com/download?id=19mAIjmLW8mzkd1-KivE7bvqOfbq8z4wf&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719739_DOD_111719739,INDEXED,1Z7HGlDLax2Z5HNt8pCOReQeFcKXJqpxw,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1Z7HGlDLax2Z5HNt8pCOReQeFcKXJqpxw/view,https://drive.google.com/file/d/1Z7HGlDLax2Z5HNt8pCOReQeFcKXJqpxw/preview,https://drive.usercontent.google.com/download?id=1Z7HGlDLax2Z5HNt8pCOReQeFcKXJqpxw&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719741_DOD_111719741,INDEXED,1_Cn37zPYTumCxSREvUE5KWePzvZsew49,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1_Cn37zPYTumCxSREvUE5KWePzvZsew49/view,https://drive.google.com/file/d/1_Cn37zPYTumCxSREvUE5KWePzvZsew49/preview,https://drive.usercontent.google.com/download?id=1_Cn37zPYTumCxSREvUE5KWePzvZsew49&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719746_DOD_111719746,INDEXED,1Da6Mw06YmFhzFf_9za7d6pjbHZLC6bvt,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1Da6Mw06YmFhzFf_9za7d6pjbHZLC6bvt/view,https://drive.google.com/file/d/1Da6Mw06YmFhzFf_9za7d6pjbHZLC6bvt/preview,https://drive.usercontent.google.com/download?id=1Da6Mw06YmFhzFf_9za7d6pjbHZLC6bvt&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719752_DOD_111719752,INDEXED,15UAk6-lCdA0mXL-2mCiQqXTQNvP-mUsl,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/15UAk6-lCdA0mXL-2mCiQqXTQNvP-mUsl/view,https://drive.google.com/file/d/15UAk6-lCdA0mXL-2mCiQqXTQNvP-mUsl/preview,https://drive.usercontent.google.com/download?id=15UAk6-lCdA0mXL-2mCiQqXTQNvP-mUsl&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719795_DOD_111719795,INDEXED,1KKyYjDKOxH1WdBUaDzZbITWVD0_PUs-k,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1KKyYjDKOxH1WdBUaDzZbITWVD0_PUs-k/view,https://drive.google.com/file/d/1KKyYjDKOxH1WdBUaDzZbITWVD0_PUs-k/preview,https://drive.usercontent.google.com/download?id=1KKyYjDKOxH1WdBUaDzZbITWVD0_PUs-k&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719799_DOD_111719799,INDEXED,10INvK6-2EnJyp8f9QlyKbOnKs1jf2wH3,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/10INvK6-2EnJyp8f9QlyKbOnKs1jf2wH3/view,https://drive.google.com/file/d/10INvK6-2EnJyp8f9QlyKbOnKs1jf2wH3/preview,https://drive.usercontent.google.com/download?id=10INvK6-2EnJyp8f9QlyKbOnKs1jf2wH3&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719800_DOD_111719800,NOT_INGESTED,1iXIhpguyP0kbS7kFUiLL7AqYs80gOENk,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1iXIhpguyP0kbS7kFUiLL7AqYs80gOENk/view,https://drive.google.com/file/d/1iXIhpguyP0kbS7kFUiLL7AqYs80gOENk/preview,https://drive.usercontent.google.com/download?id=1iXIhpguyP0kbS7kFUiLL7AqYs80gOENk&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719804_DOD_111719804,INDEXED,1OjQZ85Fpn6qYTiGgUqL-WWM5vXotqNdB,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1OjQZ85Fpn6qYTiGgUqL-WWM5vXotqNdB/view,https://drive.google.com/file/d/1OjQZ85Fpn6qYTiGgUqL-WWM5vXotqNdB/preview,https://drive.usercontent.google.com/download?id=1OjQZ85Fpn6qYTiGgUqL-WWM5vXotqNdB&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719807_DOD_111719807,INDEXED,18xZK--G1Ci0wdxsh4qEkhoQG9Obo5haA,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/18xZK--G1Ci0wdxsh4qEkhoQG9Obo5haA/view,https://drive.google.com/file/d/18xZK--G1Ci0wdxsh4qEkhoQG9Obo5haA/preview,https://drive.usercontent.google.com/download?id=18xZK--G1Ci0wdxsh4qEkhoQG9Obo5haA&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719809_DOD_111719809,INDEXED,1VPZ0vUDMWtNvkaKnmsTQhvd5i3KyZEDZ,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1VPZ0vUDMWtNvkaKnmsTQhvd5i3KyZEDZ/view,https://drive.google.com/file/d/1VPZ0vUDMWtNvkaKnmsTQhvd5i3KyZEDZ/preview,https://drive.usercontent.google.com/download?id=1VPZ0vUDMWtNvkaKnmsTQhvd5i3KyZEDZ&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719813_DOD_111719813,INDEXED,1kWjy9U8lzxWJhUqnZLa0LvKmuu-GHDQg,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1kWjy9U8lzxWJhUqnZLa0LvKmuu-GHDQg/view,https://drive.google.com/file/d/1kWjy9U8lzxWJhUqnZLa0LvKmuu-GHDQg/preview,https://drive.usercontent.google.com/download?id=1kWjy9U8lzxWJhUqnZLa0LvKmuu-GHDQg&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719823_DOD_111719823,NOT_INGESTED,1PhMN2KdiNgWJnxAt6AQSmfwl7RpLqyNP,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1PhMN2KdiNgWJnxAt6AQSmfwl7RpLqyNP/view,https://drive.google.com/file/d/1PhMN2KdiNgWJnxAt6AQSmfwl7RpLqyNP/preview,https://drive.usercontent.google.com/download?id=1PhMN2KdiNgWJnxAt6AQSmfwl7RpLqyNP&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719828_DOD_111719828,INDEXED,11yT3L_cZO70W8tdvUuXkgt04aHVmpP7B,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/11yT3L_cZO70W8tdvUuXkgt04aHVmpP7B/view,https://drive.google.com/file/d/11yT3L_cZO70W8tdvUuXkgt04aHVmpP7B/preview,https://drive.usercontent.google.com/download?id=11yT3L_cZO70W8tdvUuXkgt04aHVmpP7B&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719833_DOD_111719833,NOT_INGESTED,1yWSwE7G6vLitQaY0Eg5Z_e_EQH0-RjdP,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1yWSwE7G6vLitQaY0Eg5Z_e_EQH0-RjdP/view,https://drive.google.com/file/d/1yWSwE7G6vLitQaY0Eg5Z_e_EQH0-RjdP/preview,https://drive.usercontent.google.com/download?id=1yWSwE7G6vLitQaY0Eg5Z_e_EQH0-RjdP&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719835_DOD_111719835,INDEXED,1mDjBispSV5HHM7ztKvrLDoZAIDsOmvcG,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1mDjBispSV5HHM7ztKvrLDoZAIDsOmvcG/view,https://drive.google.com/file/d/1mDjBispSV5HHM7ztKvrLDoZAIDsOmvcG/preview,https://drive.usercontent.google.com/download?id=1mDjBispSV5HHM7ztKvrLDoZAIDsOmvcG&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719847_DOD_111719847,INDEXED,1vcgVHLHQoXrA9cjZsrrtp23DfQ08AYO2,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1vcgVHLHQoXrA9cjZsrrtp23DfQ08AYO2/view,https://drive.google.com/file/d/1vcgVHLHQoXrA9cjZsrrtp23DfQ08AYO2/preview,https://drive.usercontent.google.com/download?id=1vcgVHLHQoXrA9cjZsrrtp23DfQ08AYO2&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719850_DOD_111719850,NOT_INGESTED,1vCLsw-W-aQ5AbMqY1zZqvRXNmDxQYCCR,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1vCLsw-W-aQ5AbMqY1zZqvRXNmDxQYCCR/view,https://drive.google.com/file/d/1vCLsw-W-aQ5AbMqY1zZqvRXNmDxQYCCR/preview,https://drive.usercontent.google.com/download?id=1vCLsw-W-aQ5AbMqY1zZqvRXNmDxQYCCR&export=download&confirm=t,2026-08-08,,
video_2605_DOD_111719852_DOD_111719852,INDEXED,1Ysn4BIezJWt4TECDHK0R4zDkYD7VGYTo,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1Ysn4BIezJWt4TECDHK0R4zDkYD7VGYTo/view,https://drive.google.com/file/d/1Ysn4BIezJWt4TECDHK0R4zDkYD7VGYTo/preview,https://drive.usercontent.google.com/download?id=1Ysn4BIezJWt4TECDHK0R4zDkYD7VGYTo&export=download&confirm=t,2026-08-08,,
