release_id,source_file,title_meta,subject_meta,author_meta,producer,pdf_created,pdf_modified,pages,file_bytes,sha256,pages_no_text_layer,mean_ocr_quality,segments,release_stamps,doc_id_stamps,source_url,mirror_url,working_url
DOW-UAP-D14-Mission-Report-Iraq-May-2022.pdf,DOW-UAP-D14-Mission-Report-Iraq-May-2022.pdf,"DOW-UAP-D14, Mission Report, Iraq, May 2022","DOW-UAP-D14, Mission Report, Iraq, May 2022",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Oct 23 16:24:50 2025 UTC,Thu May  7 20:35:46 2026 UTC,9,7463660,1822564fbae08f152ad4541c8d067a6ec3b6014c4b4eb8209604e1facb5e1bb3,0,0.964,1,,,,,
DOW-UAP-D16-Mission-Report-Syria-July-2022.pdf,DOW-UAP-D16-Mission-Report-Syria-July-2022.pdf,"DOW-UAP-D16, Mission Report, Syria, July 2022","DOW-UAP-D16, Mission Report, Syria, July 2022",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Oct 23 16:26:37 2025 UTC,Thu May  7 20:36:13 2026 UTC,7,6999240,b3b3f023d70bcce3178de9fe6a019ea6db5e5145bc7e28a49308442e190ef817,0,0.963,1,,,,,
DOW-UAP-D18-Mission-Report-Iraq-December-2022.pdf,DOW-UAP-D18-Mission-Report-Iraq-December-2022.pdf,D-18,D-18,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Oct 23 16:27:43 2025 UTC,Thu May  7 19:45:35 2026 UTC,6,3673697,4752dd830144b21c3055a2fea8b44c551445b41622c27db64fb0fa07c2dcd93d,0,0.959,1,,,,,
DOW-UAP-D19-Mission-Report-Syria-February-21-2023.pdf,DOW-UAP-D19-Mission-Report-Syria-February-21-2023.pdf,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023","DOW-UAP-D19, Mission Report, Syria, February 21, 2023",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Oct 23 16:28:51 2025 UTC,Thu May  7 20:37:02 2026 UTC,10,5885305,46701a48cefa62a834941f073aa47234bcd5358b1ecc53bfa58cfc7cb5aeec41,0,0.953,1,,,,,
DOW-UAP-D20-Mission-Report-Iraq-2023.pdf,DOW-UAP-D20-Mission-Report-Iraq-2023.pdf,"DOW-UAP-D20, Mission Report, Southern United States, 2020","DOW-UAP-D20, Mission Report, Southern United States, 2020",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu Oct 23 16:31:06 2025 UTC,Thu May  7 20:37:32 2026 UTC,6,3698245,71ca8826db94d61583083ef8465a6902564532dcab7d49d0d2db3e86aaf85b2f,0,0.96,1,,,,,
DOW-UAP-D23-Mission-Report-United-Arab-Emirates-October-2023.pdf,DOW-UAP-D23-Mission-Report-United-Arab-Emirates-October-2023.pdf,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023","DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Fri Sep 12 13:47:57 2025 UTC,Thu May  7 20:38:11 2026 UTC,9,1324277,ea1cd5296143f378db533066b524c32c1ecfbfd43d74ec6be7d832c20fa271bb,0,0.96,1,,,,,
DOW-UAP-D25-Mission-Report-Greece-January-2024.pdf,DOW-UAP-D25-Mission-Report-Greece-January-2024.pdf,"DOW-UAP-D25, Mission Report, Greece, January 2024","DOW-UAP-D25, Mission Report, Greece, January 2024",,,Fri Apr  3 14:12:44 2026 UTC,Thu May  7 20:38:38 2026 UTC,7,680054,bd5478d2e420f6ff46fb06014e39027e1caa415f55efdc9bd70a849ff6990356,0,0.976,1,,,,,
DOW-UAP-D27-Mission-Report-United-Arab-Emirates-October-2023.pdf,DOW-UAP-D27-Mission-Report-United-Arab-Emirates-October-2023.pdf,"DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023","DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023",,,Fri Apr  3 14:25:07 2026 UTC,Thu May  7 20:39:10 2026 UTC,8,689226,86275421f64583566fcc32b7422c5d991b35dd7d3700e01d3fcf24b279fff243,0,0.98,1,,,,,
DOW-UAP-D28-Mission-Report-East-China-Sea-2024.pdf,DOW-UAP-D28-Mission-Report-East-China-Sea-2024.pdf,"DOW-UAP-D28, Mission Report, East China Sea, 2024","DOW-UAP-D28, Mission Report, East China Sea, 2024",,,Wed May  6 23:16:57 2026 UTC,Thu May  7 20:39:37 2026 UTC,6,633172,e12c00b3e2d64e35eef5623499e6eb23b1bc21d304523c75d28d3f474d91d77e,0,0.978,1,,,,,
DOW-UAP-D3-Mission-Report-Arabian-Gulf-2020.pdf,DOW-UAP-D3-Mission-Report-Arabian-Gulf-2020.pdf,"DOW-UAP-D3, Mission Report, Arabian Gulf, 2020","DOW-UAP-D3, Mission Report, Arabian Gulf, 2020",,,Tue Apr 21 18:44:32 2026 UTC,Thu May  7 20:29:59 2026 UTC,7,101111,58219b8000454aa27424ead9530bf80420365a587b95d4c770a5dce916783b45,1,0.827,1,,,,,
"DOW-UAP-D32-Mission-Report,-Syria-October-2024.pdf","DOW-UAP-D32-Mission-Report,-Syria-October-2024.pdf","DOW-UAP-D32, Mission Report, Syria, October 2024","DOW-UAP-D32, Mission Report, Syria, October 2024",,,Wed May  6 23:08:16 2026 UTC,Thu May  7 20:40:25 2026 UTC,10,651740,fd4deb1e48fcfa7fd2370b6459877882e6d6fdd0226ecaa881a45fba690172df,0,0.978,1,,,,,
DOW-UAP-D33-Mission-Report-Greece-October-2023.pdf,DOW-UAP-D33-Mission-Report-Greece-October-2023.pdf,"DOW-UAP-D33, Mission Report, Greece, October 2023","DOW-UAP-D33, Mission Report, Greece, October 2023",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Mon May  4 15:31:19 2026 UTC,Thu May  7 20:40:50 2026 UTC,7,897434,7078d96f334dbf396e0e0a141f943009fe2191cd20842e16ee381bcbc2776c43,0,0.961,1,,,,,
DOW-UAP-D35-Mission-Report-Greece-October-2023.pdf,DOW-UAP-D35-Mission-Report-Greece-October-2023.pdf,"DOW-UAP-D35, Mission Report, Greece, October 2023","DOW-UAP-D35, Mission Report, Greece, October 2023",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Mon Jan 26 16:28:30 2026 UTC,Thu May  7 20:41:25 2026 UTC,7,1415369,b4f4f4ce6dc7687a543905990671f999cd6c5a9e579159bfda501bf6d04f4445,0,0.96,1,,,,,
DOW-UAP-D38-Range-Fouler-Debrief-Middle-East-May-2020.pdf,DOW-UAP-D38-Range-Fouler-Debrief-Middle-East-May-2020.pdf,"DOW-UAP-D38, Range Fouler Debrief, Middle East, May 2020","DOW-UAP-D38, Range Fouler Debrief, Middle East, May 2020",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Mon Jan 26 16:28:56 2026 UTC,Thu May  7 20:41:59 2026 UTC,1,342668,90b353682ba2181149054d0911b7553e58e959438dd4de531a06fc387a332f85,0,0.993,1,,,,,
DOW-UAP-D4-Mission-Report-Arabian-Gulf-2020.pdf,DOW-UAP-D4-Mission-Report-Arabian-Gulf-2020.pdf,"DOW-UAP-D4, Mission Report, Arabian Gulf, 2020","DOW-UAP-D4, Mission Report, Arabian Gulf, 2020",,,Wed Apr 29 12:07:34 2026 UTC,Thu May  7 20:30:40 2026 UTC,5,29121,857deb5a9363aad6e7604c828574d1f44caa0128b3ee0cb5a69204cbcd95d269,4,0.999,1,,,,,
DOW-UAP-D42-Range-Fouler-Debrief-Japan-2023.pdf,DOW-UAP-D42-Range-Fouler-Debrief-Japan-2023.pdf,"DOW-UAP-D42, Range Fouler Debrief, Japan, 2023","DOW-UAP-D42, Range Fouler Debrief, Japan, 2023",,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Tue Mar 17 11:53:37 2026 UTC,Thu May  7 20:43:01 2026 UTC,1,295621,d52431b354af55b1e86cb454e61fd61993af3b023a38f2d9e014a9c9d18d16b4,0,0.975,1,,,,,
