release_id,pdf_page,entity_type,value_verbatim,value_normalized,norm_rule,candidate_flags
DOW-UAP-D092,32,LOCATOR,Room 5D,Room 5D,,CLEAN
DOW-UAP-D092,33,PERSON,Dr. Bill Price's,Dr. Bill Price's,,CLEAN
DOW-UAP-D092,33,PERSON,Dr. Edward V. Condon,Dr. Edward V. Condon,,CLEAN
DOW-UAP-D092,33,PERSON,Mr. Robert J. Low,Mr. Robert J. Low,,TRUNCATED
DOW-UAP-D092,33,PERSON,Dr. W. K. Hartman,Dr. W. K. Hartman,,CLEAN
DOW-UAP-D092,33,PERSON,Dr. William Price,Dr. William Price,,CLEAN
DOW-UAP-D092,33,PERSON,Dr. Tom Ratchford,Dr. Tom Ratchford,,CLEAN
DOW-UAP-D092,33,PERSON,Dr. Jesse Orlansky,Dr. Jesse Orlansky,,CLEAN
DOW-UAP-D092,33,PERSON,Dr. Willis Ware,Dr. Willis Ware,,CLEAN
DOW-UAP-D092,33,PERSON,Mr. Chester N. Hasert,Mr. Chester N. Hasert,,CLEAN
DOW-UAP-D092,33,PERSON,Lt Col Harold A. Steiner,Lt Col Harold A. Steiner,,CLEAN
DOW-UAP-D092,33,PERSON,Lt Col Robert Hippler,Lt Col Robert Hippler,,CLEAN
DOW-UAP-D092,33,PERSON,Mr. Charles K. Reed,Mr. Charles K. Reed,,CLEAN
DOW-UAP-D092,33,PERSON,Mr. L. V. Brasher,Mr. L. V. Brasher,,CLEAN
DOW-UAP-D092,33,PERSON,Mr. Dan Taylor,Mr. Dan Taylor,,CLEAN
DOW-UAP-D092,33,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,33,DATE,16 May 1967,16 May 1967,,CLEAN
DOW-UAP-D092,33,DATE,5 May 1967,5 May 1967,,CLEAN
DOW-UAP-D092,34,PERSON,Mr. Richard Hall,Mr. Richard Hall,,CLEAN
DOW-UAP-D092,34,ORG,NICAP,NICAP,,CLEAN
DOW-UAP-D092,34,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,35,PERSON,Dr. Stever,Dr. Stever,,CLEAN
DOW-UAP-D092,35,PERSON,Dr. Condon. Lt Colonel,Dr. Condon. Lt Colonel,,CLEAN
DOW-UAP-D092,35,ORG,NICAP,NICAP,,CLEAN
DOW-UAP-D092,35,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,35,DATE,1 January 1967,1 January 1967,,CLEAN
DOW-UAP-D092,36,PERSON,Mr. William P. Wietzel,Mr. William P. Wietzel,,CLEAN
DOW-UAP-D092,36,PERSON,Mr. William Wietzel,Mr. William Wietzel,,CLEAN
DOW-UAP-D092,36,PERSON,Mr. Wietzel,Mr. Wietzel,,CLEAN
DOW-UAP-D092,36,PERSON,Mr. Wietzel's,Mr. Wietzel's,,CLEAN
DOW-UAP-D092,36,PERSON,Lt Colonel,Lt Col,RANK,TRUNCATED
DOW-UAP-D092,36,ORG,NICAP,NICAP,,CLEAN
DOW-UAP-D092,36,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,36,DATE,10 August 1966,10 August 1966,,CLEAN
DOW-UAP-D092,36,MARKING,restricted,RESTRICTED,MARKING,CLEAN
DOW-UAP-D092,42,PERSON,Lt Col John P. Spaulding,Lt Col John P. Spaulding,,CLEAN
DOW-UAP-D092,42,PERSON,Mrs. Sarah Hunt,Mrs. Sarah Hunt,,CLEAN
DOW-UAP-D092,42,ORG,SAFOI,SAFOI,,CLEAN
DOW-UAP-D092,42,ORG,FTD,FTD,,CLEAN
DOW-UAP-D092,42,DATE,1 January 1966,1 January 1966,,CLEAN
